aar;video_url;kommune;tittel;tema;hva_er_spesielt;folelse;antrekk;type_bygg_og_industri;type_historisk;type_natur_og_idrett;type_kunst_og_haandverk;type_idrett_og_fysisk_aktivitet;tema_samlere_entusiaster_og_oppfinnere;tema_vitenskap;relasjoner;type_musikere;type_mat;type_dyr;antall_menn;antall_kvinner;tema_natur_og_friluftsliv;tema_kjop_og_salg;type_landbruk_og_fiske;offentlige_tjenester_og_veldedighet;hovedperson1_kjonn;hovedperson2_kjonn;hovedperson3_kjonn;hovedperson1_alder;hovedperson2_alder;hovedperson3_alder;tema_politikk_og_media
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004204/15-10-2004#t=7m12s;Ukjent sted;Frimerkekunstner;Kunst og Håndverk;Nerdefaktor, Spesiell jobb;;;;;;;;;;;;;;1;;;;;;Mann;;;50 til 60;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004204/15-10-2004#t=13m53s;Holtålen;Ålen: Gårdsauksjon;Ukategoriserbart;;;Caps, Hatt, Strikkekofte;;;;;;;;;;;;50;50;;;;;Mann;Mann;;60 til 70;50 til 60;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004204/15-10-2004#t=19m58s;Karasjok;Karasjok: Steinalderbåt;Kunst og Håndverk;;;Caps, Hatt, Samiske klær;;;;Båt;;;;;;;;2;;;;;;Mann;;;60 til 70;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004304/22-10-2004#t=1m3s;Bergen;Bergen: Hildemors dansesenter (Mellomstikk);Idrett og fysisk aktivitet;;;Slips;;;;;Dans;;;;;;;20;20;;;;;Kvinne;Kvinne;Kvinne;10 til 15;10 til 15;20 til 30;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004304/22-10-2004#t=2m20s;Fræna;Kjørsvika: Klatrehund;Dyr;Spesielle kombinasjoner;;;;;;;;;;;;;Hund;3;1;;;;;Mann;Mann;Kvinne;10 til 15;10 til 15;5 til 10;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004304/22-10-2004#t=5m53s;Vinje;Rauland: Knaost;Mat;;;Hatt;;;;;;;;;;Ost;;2;10;;;;;Kvinne;Kvinne;Kvinne;50 til 60;40 til 50;30 til 40;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004304/22-10-2004#t=10m8s;Ørsta;Ørsta: Autografsamler;Samlere entusiaster og oppfinnere;;;;;;;;;;;;;;;1;;;;;;Mann;;;60 til 70;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004304/22-10-2004#t=14m33s;Lindås;Mongstad: Mongstad Museum;Historisk;;;Caps, Hjelm, Kjeledress;;Museum;;;;;;;;;;6;;;;;;Mann;Mann;Mann;60 til 70;60 til 70;70 til 80;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004304/22-10-2004#t=18m51s;Oslokommune;Oslo: Operaball;Ukategoriserbart;;;Hatt;;;;;;;;;;;;75;75;;;;;Kvinne;Mann;;20 til 30;20 til 30;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004404/29-10-2004?autostart=true#t=1m14s;Vik;Vik i Sogn: Gammalost (Mellomstikk);Mat;;;Caps, Hatt, Uniform;;;;;;;;;;Ost;;4;3;;;;;Mann;Kvinne;Kvinne;40 til 50;30 til 40;30 til 40;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004404/29-10-2004?autostart=true#t=2m13s;Sarpsborg;Sarpsborg: Adopsjonsgris;Dyr;;;Kjeledress;;;;;;;;;;;Gris, Menneske hjelper dyr;;1;;;;;Kvinne;;;15 til 20;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004404/29-10-2004?autostart=true#t=5m8s;Sandefjord;Sandefjord: Hvalfanger på leit (leting);Historisk;;;Caps, Slips;;Sjøfart;;;;;;;;;;4;;;;;;Mann;;;80 til 90;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004404/29-10-2004?autostart=true#t=9m53s;Hemsedal;Hemsedal: Fausko fjellgård;Ukategoriserbart;;;Uniform;;;;;;;;;;;;10;3;;;;;Mann;Mann;Mann;80 til 90;30 til 40;50 til 60;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004404/29-10-2004?autostart=true#t=15m19s;Stord;Stord: Pizzabåt;Kunst og Håndverk;Miniatyr;;;;;;Båt;;;;;;;;2;1;;;;;Mann;Kvinne;;20 til 30;20 til 30;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004404/29-10-2004?autostart=true#t=19m32s;Nesna;Nesna: Paragliding;Idrett og fysisk aktivitet;;;Hjelm;;;;;Paragliding;;;;;;;1;2;;;;;Kvinne;;;20 til 30;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004504/05-11-2004#t=1m21s;Kristiansand;Kristiansand: Dyreparken (Mellomstikk);Dyr;;;;;;;;;;;;;;eksotiske dyr;1;1;;;;;Kvinne;Mann;;40 til 50;40 til 50;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004504/05-11-2004#t=2m59s;Trondheim;Trondheim: Klatremus;Idrett og fysisk aktivitet;Alder;;;;;;;Klatrevegg;;;;;;;3;2;;;;;Mann;Kvinne;;20 til 30;0 til 5;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004504/05-11-2004#t=7m30s;Stavanger;Stavanger: Tandberg;Samlere entusiaster og oppfinnere;;;;;;;;;;;;;;;1;;;;;;Mann;;;50 til 60;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004504/05-11-2004#t=13m42s;Stjørdal;Hegra: Skogsmaskinene i Sevilla;Landbruk og fiske;;;Caps;;;;;;;;;;;;3;;;;Skogsdrift;;;;;;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004504/05-11-2004#t=17m42s;Bergen;Bergen: Turistvertinna i Fana;Mat;Alder, Spesiell jobb;;Bunad, Caps;;;;;;;;;;Diverse tradisjonsmat;;30;30;;;;;Kvinne;Mann;Kvinne;80 til 90;60 til 70;60 til 70;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004604/12-11-2004#t=1m20s;Bergen;Bergen: Kunsthøgskolen (Mellomstikk);Offentlige tjenester og veldedighet;;;Caps;;;;;;;;;;;;3;3;;;;Skole og barnehage;Mann;Kvinne;Kvinne;30 til 40;20 til 30;20 til 30;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004604/12-11-2004#t=2m39s;Gjøvik;Gjøvik: 104-åring;Ukategoriserbart;Alder;;Caps, Slips;;;;;;;;;;;;1;1;;;;;Mann;;;Mer enn 100;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004604/12-11-2004#t=7m36s;Drammen;Drammen: Frøya;Dyr;Spesielle kombinasjoner;;Hjelm;;;;;;;;;;;Hund;2;2;;;;;;;;;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004604/12-11-2004#t=9m56s;Stjørdal;Stjørdal: Glutenfritt bakeri;Mat;;;Caps;;;;;;;;;;Bakverk;;1;2;;;;;Kvinne;Kvinne;;40 til 50;50 til 60;;
